,date,pays,ville,stade,equipe1,equipe2,score1,score2,result_france,competition
261,1961-12-16,Italie,Milan,Stade San Siro,Bulgarie,France,1,0,loss,Qualifications pour la Coupe du monde 1962 (barrage)
262,1963-09-29,Bulgarie,Sofia,Stade national Vassil-Levski,Bulgarie,France,1,0,loss,Qualifications pour l'Euro 1964
263,1963-10-26,France,Paris,Parc des Princes,France,Bulgarie,3,1,win,Qualifications pour l'Euro 1964
264,1970-04-08,France,Le Petit-Quevilly,Stade Robert-Diochon,France,Bulgarie,1,1,draw,Match amical
265,1971-11-10,France,Nantes,Stade Marcel-Saupin,France,Bulgarie,2,1,win,Qualifications pour l'Euro 1972
266,1971-12-04,Bulgarie,Sofia,Stade national Vassil-Levski,Bulgarie,France,2,1,loss,Qualifications pour l'Euro 1972
267,1976-10-09,Bulgarie,Sofia,Stade national Vassil-Levski,Bulgarie,France,2,2,draw,Qualifications pour la Coupe du monde 1978
268,1977-11-16,France,Paris,Parc des Princes,France,Bulgarie,3,1,win,Qualifications pour la Coupe du monde 1978
269,1982-05-15,France,Lyon,Stade de Gerland,France,Bulgarie,0,0,draw,Match amical
270,1984-11-21,France,Paris,Parc des Princes,France,Bulgarie,1,0,win,Qualifications pour la Coupe du monde 1986
271,1985-05-02,Bulgarie,Sofia,Stade national Vassil-Levski,Bulgarie,France,2,0,loss,Qualifications pour la Coupe du monde 1986
272,1992-09-09,Bulgarie,Sofia,Stade national Vassil-Levski,Bulgarie,France,2,0,loss,Qualifications pour la Coupe du monde 1994
273,1993-11-17,France,Paris,Parc des Princes,France,Bulgarie,1,2,loss,Qualifications pour la Coupe du monde 1994
274,1996-06-18,Angleterre,Newcastle,St James' Park,France,Bulgarie,3,1,win,Euro 1996 (Groupe B)
275,2016-10-07,France,Saint-Denis,Stade de France,France,Bulgarie,4,1,win,Qualifications pour la Coupe du monde 2018
276,2017-10-07,Bulgarie,Sofia,Stade national Vassil-Levski,Bulgarie,France,0,1,win,Qualifications pour la Coupe du monde 2018
277,2021-06-08,France,Saint-Denis,Stade de France,France,Bulgarie,3,0,win,Match amical
278,1972-06-14,Brésil,Salvador,Stade Octávio-Mangabeira,France,CAF,2,0,win,Coupe de l'Indépendance du Brésil (amical)
279,2000-10-04,France,Saint-Denis,Stade de France,France,Cameroun,1,1,draw,Match amical
280,2003-06-29,France,Saint-Denis,Stade de France,Cameroun,France,0,1,win,Coupe des confédérations 2003 (Finale)
281,2016-05-30,France,Nantes,Stade de la Beaujoire,France,Cameroun,3,2,win,Match amical
282,1986-06-01,Mexique,León,Estadio Nou Camp,France,Canada,1,0,win,Coupe du monde 1986 (Groupe C)
283,1930-07-19,Uruguay,Montevideo,Stade Centenario,Chili,France,1,0,loss,Coupe du monde 1930 (Groupe 1)
284,1960-03-16,France,Paris,Parc des Princes,France,Chili,6,0,win,Match amical
285,1994-03-22,France,Lyon,Stade de Gerland,France,Chili,3,1,win,Match amical
286,2001-09-01,Chili,Santiago,Estadio Nacional de Chile,Chili,France,2,1,loss,Match amical
287,2011-08-10,France,Montpellier,Stade de la Mosson,France,Chili,1,1,draw,Match amical
288,2006-06-07,France,Saint-Étienne,Stade Geoffroy-Guichard,France,Chine,3,1,win,Match amical
289,2010-06-04,France,Saint-Pierre,Stade Michel-Volnay,France,Chine,0,1,loss,Match amical
290,1980-10-11,Chypre,Limassol,stade Tsirion,Chypre,France,0,7,win,Qualifications pour la Coupe du monde 1982
291,1981-12-05,France,Paris,Parc des Princes,France,Chypre,4,0,win,Qualifications pour la Coupe du monde 1982
292,1988-10-22,Chypre,Engomi,stade Makarios,Chypre,France,1,1,draw,Qualifications pour la Coupe du monde 1990
293,1989-11-18,France,Toulouse,Stadium municipal,France,Chypre,2,0,win,Qualifications pour la Coupe du monde 1990
294,2002-09-07,Chypre,Strovolos,Stade GSP,Chypre,France,1,2,win,Qualifications pour l'Euro 2004
295,2003-09-06,France,Saint-Denis,Stade de France,France,Chypre,5,0,win,Qualifications pour l'Euro 2004
296,2004-10-13,Chypre,Strovolos,Stade GSP,Chypre,France,0,2,win,Qualifications pour la Coupe du monde 2006
297,2005-10-12,France,Saint-Denis,Stade de France,France,Chypre,4,0,win,Qualifications pour la Coupe du monde 2006
298,1972-06-18,Brésil,Salvador,Stade Octávio-Mangabeira,France,Colombie,3,2,win,Coupe de l'Indépendance du Brésil (amical)
299,2003-06-18,France,Lyon,Stade de Gerland,France,Colombie,1,0,win,Coupe des confédérations 2003 (Groupe A)
300,2008-06-03,France,Saint-Denis,Stade de France,France,Colombie,1,0,win,Match amical
301,2018-03-23,France,Saint-Denis,Stade de France,France,Colombie,2,3,loss,Match amical
302,1972-06-11,Brésil,Salvador,Stade Octávio-Mangabeira,France,CONCACAF,5,0,win,Coupe de l'Indépendance du Brésil (amical)
303,2001-05-30,Corée du Sud,Daegu,Stade de la Coupe du monde de Daegu,Corée du Sud,France,0,5,win,Coupe des confédérations 2001 (Groupe A)[6]
304,2002-05-26,Corée du Sud,Suwon,Stade de la Coupe du monde de Suwon,Corée du Sud,France,2,3,win,Match amical
305,2006-06-18,Allemagne,Leipzig,Zentralstadion,France,Corée du Sud,1,1,draw,Coupe du monde 2006 (Groupe G)
306,2005-11-09,France,Fort-de-France,Stade de Dillon,France,Costa Rica,3,2,win,Match amical
307,2010-05-26,France,Lens,Stade Félix-Bollaert,France,Costa Rica,2,1,win,Match amical
308,1998-07-08,France,Saint-Denis,Stade de France,France,Croatie,2,1,win,Coupe du monde 1998 (Demi-finale)
309,1999-11-13,France,Saint-Denis,Stade de France,France,Croatie,3,0,win,Match amical
310,2000-05-28,Croatie,Zagreb,Stade Maksimir,Croatie,France,0,2,win,Match amical
311,2004-06-17,Portugal,Leiria,Stade municipal de Leiria - Dr. Magalhães Pessoa,Croatie,France,2,2,draw,Euro 2004 (Groupe B)
312,2011-03-29,France,Saint-Denis,Stade de France,France,Croatie,0,0,draw,Match amical
313,2018-07-15,Russie,Moscou,Stade Loujniki,France,Croatie,4,2,win,Coupe du monde 2018 (Finale)
314,2020-09-08,France,Saint-Denis,Stade de France,France,Croatie,4,2,win,"Ligue des nations 2020-2021 (Ligue A, Groupe 3)"
315,2020-10-14,Croatie,Zagreb,Stade Maksimir,Croatie,France,1,2,win,"Ligue des nations 2020-2021 (Ligue A, Groupe 3)"
316,1908-10-19,Angleterre,Londres,White City Stadium,Danemark,France,9,0,loss,Jeux olympiques 1908(Quart de finale)
317,1908-10-22,Angleterre,Londres,White City Stadium,Danemark,France,17,1,loss,Jeux olympiques 1908 (Demi-finale)
318,1973-11-21,France,Paris,Parc des Princes,France,Danemark,3,0,win,Match amical
319,1976-09-01,Danemark,Copenhague (Københavns Idrætspark,en,Danemark,France,1,1,draw,Match amical
320,1983-09-07,Danemark,Copenhague,Københavns Idrætspark,Danemark,France,3,1,loss,Match amical
321,1984-06-12,France,Paris,Parc des Princes,France,Danemark,1,0,win,Euro 1984 (Groupe 1)
322,1992-06-17,Suède,Malmö,Malmö Stadion,Danemark,France,2,1,loss,Euro 1992 (Groupe 1)
323,1996-11-09,Danemark,Copenhague,Parken Stadium,Danemark,France,1,0,loss,Match amical
324,1998-06-24,France,Lyon,Stade de Gerland,France,Danemark,2,1,win,Coupe du monde 1998 (Groupe C)
325,2000-06-11,Belgique,Bruges,Stade Jan-Breydel,France,Danemark,3,0,win,Euro 2000 (Groupe D)
326,2001-08-15,France,Nantes,Stade de la Beaujoire,France,Danemark,1,0,win,Match amical
327,2002-06-11,Corée du Sud,Incheon,Incheon Munhak Stadium,Danemark,France,2,0,loss,Coupe du monde 2002 (Groupe A)
328,2006-05-31,France,Lens,Stade Félix-Bollaert,France,Danemark,2,0,win,Match amical
329,2015-03-29,France,Saint-Étienne,Stade Geoffroy-Guichard,France,Danemark,2,0,win,Match amical
330,2015-10-11,Danemark,Copenhague,Parken Stadium,Danemark,France,1,2,win,Match amical
331,2018-06-26,Russie,Moscou,Stade Loujniki,Danemark,France,0,0,draw,Coupe du monde 2018 (Groupe C)
332,2022-06-03,France,Saint-Denis,Stade de France,France,Danemark,1,2,loss,"Ligue des nations 2022-2023 (Ligue A, Groupe 1)"
333,2022-09-25,Danemark,Copenhague,Parken Stadium,Danemark,France,2,0,loss,"Ligue des nations 2022-2023 (Ligue A, Groupe 1)"
334,2022-11-26,Qatar,Doha,Stade 974,France,Danemark,2,1,win,Coupe du monde 2022 (Groupe D)
335,1930-05-18,France,Colombes,Stade olympique Yves-du-Manoir,France,Écosse,0,2,loss,Match amical
336,1932-05-08,France,Colombes,Stade olympique Yves-du-Manoir,France,Écosse,1,3,loss,Match amical
337,1948-05-23,France,Colombes,Stade olympique Yves-du-Manoir,France,Écosse,3,0,win,Match amical
338,1949-04-27,Écosse,Glasgow,Hampden Park,Écosse,France,2,0,loss,Match amical
339,1950-05-27,France,Colombes,Stade olympique Yves-du-Manoir,France,Écosse,0,1,loss,Match amical
340,1951-05-16,Écosse,Glasgow,Hampden Park,Écosse,France,1,0,loss,Match amical
341,1958-06-15,Suède,Örebro,Behrn Arena,France,Écosse,2,1,win,Coupe du monde 1958 (Groupe 2)
342,1984-06-01,France,Marseille,stade Vélodrome,France,Écosse,2,0,win,Match amical
343,1989-03-08,Écosse,Glasgow,Hampden Park,Écosse,France,2,0,loss,Qualifications pour la Coupe du monde 1990
344,1989-10-11,France,Paris,Parc des Princes,France,Écosse,3,0,win,Qualifications pour la Coupe du monde 1990
345,1997-11-12,France,Saint-Étienne,Stade Geoffroy-Guichard,France,Écosse,2,1,win,Match amical
346,2000-03-29,Écosse,Glasgow,Hampden Park,Écosse,France,0,2,win,Match amical
347,2002-03-27,France,Saint-Denis,Stade de France,France,Écosse,5,0,win,Match amical
348,2006-10-07,Écosse,Glasgow,Hampden Park,Écosse,France,1,0,loss,Qualifications pour l'Euro 2008
349,2007-09-12,France,Paris,Parc des Princes,France,Écosse,0,1,loss,Qualifications pour l'Euro 2008
350,2016-06-04,France,Longeville-lès-Metz,Stade Saint-Symphorien,France,Écosse,3,0,win,Match amical
351,2023-10-17,France,Villeneuve-d'Ascq,Stade Pierre-Mauroy,France,Écosse,4,1,win,Match amical
352,2003-04-30,France,Saint-Denis,Stade de France,France,Égypte,5,0,win,Match amical
353,2008-05-27,France,Grenoble,Stade des Alpes,France,Équateur,2,0,win,Match amical
354,2014-06-25,Brésil,Rio de Janeiro,Stade Maracanã,Équateur,France,0,0,draw,Coupe du monde 2014 (Groupe E)
355,1922-04-30,France,Le Bouscat,Stade Sainte-Germaine,France,Espagne,0,4,loss,Match amical
356,1923-01-28,Espagne,Saint-Sébastien,Stade d'Atocha,Espagne,France,3,0,loss,Match amical
357,1927-05-22,France,Colombes,Stade olympique Yves-du-Manoir,France,Espagne,1,4,loss,Match amical
358,1929-04-14,Espagne,Saragosse,Stade de Torrero,Espagne,France,8,1,loss,Match amical
359,1933-04-23,France,Colombes,Stade olympique Yves-du-Manoir,France,Espagne,1,0,win,Match amical
360,1935-01-27,Espagne,Chamartín de la Rosa,Stade de Chamartín,Espagne,France,2,0,loss,Match amical
361,1942-03-15,Espagne,Séville (Stade Nervión,en,Espagne,France,4,0,loss,Match amical
362,1949-06-19,France,Colombes,Stade olympique Yves-du-Manoir,France,Espagne,1,5,loss,Match amical
363,1955-03-17,Espagne,Madrid,Stade Santiago Bernabéu,Espagne,France,1,2,win,Match amical
364,1958-03-13,France,Paris,Parc des Princes,France,Espagne,2,2,draw,Match amical
365,1959-12-17,France,Paris,Parc des Princes,France,Espagne,4,3,win,Match amical
366,1961-04-02,Espagne,Madrid,Stade Santiago Bernabéu,Espagne,France,2,0,loss,Match amical
367,1961-12-10,France,Colombes,Stade olympique Yves-du-Manoir,France,Espagne,1,1,draw,Match amical
368,1963-01-09,Espagne,Barcelone,Camp Nou,Espagne,France,0,0,draw,Match amical
369,1968-10-17,France,Lyon,Stade de Gerland,France,Espagne,1,3,loss,Match amical
370,1971-03-17,Espagne,Valence,Stade de Mestalla,Espagne,France,2,2,draw,Match amical
371,1978-11-08,France,Paris,Parc des Princes,France,Espagne,1,0,win,Match amical
372,1981-02-18,Espagne,Madrid,Stade Vicente Calderón,Espagne,France,1,0,loss,Match amical
373,1983-10-05,France,Paris,Parc des Princes,France,Espagne,1,1,draw,Match amical
374,1984-06-27,France,Paris,Parc des Princes,France,Espagne,2,0,win,Euro 1984 (Finale)
375,1988-03-23,France,Bordeaux,Parc Lescure,France,Espagne,2,1,win,Match amical
376,1991-02-20,France,Paris,Parc des Princes,France,Espagne,3,1,win,Qualifications pour l'Euro 1992
377,1991-10-12,Espagne,Séville,Stade Benito-Villamarín,Espagne,France,1,2,win,Qualifications pour l'Euro 1992
378,1996-06-15,Angleterre,Leeds,Elland Road,France,Espagne,1,1,draw,Euro 1996 (Groupe B)
379,1998-01-28,France,Saint-Denis,Stade de France,France,Espagne,1,0,win,Match amical (Inauguration du Stade de France)
380,2000-06-25,Belgique,Bruges,Stade Jan-Breydel,Espagne,France,1,2,win,Euro 2000 (Quart de finale)
381,2001-03-28,Espagne,Valence,Stade de Mestalla,Espagne,France,2,1,loss,Match amical
382,2006-06-27,Allemagne,Hanovre,AWD-Arena,Espagne,France,1,3,win,Coupe du monde 2006 (Huitième de finale)
383,2008-02-06,Espagne,Malaga,Stade de la Rosaleda,Espagne,France,1,0,loss,Match amical
384,2010-03-03,France,Saint-Denis,Stade de France,France,Espagne,0,2,loss,Match amical
385,2012-06-23,Ukraine,Donetsk,Donbass Arena,Espagne,France,2,0,loss,Euro 2012 (Quart de finale)
386,2012-10-16,Espagne,Madrid,Stade Vicente Calderón,Espagne,France,1,1,draw,Qualifications pour la Coupe du monde 2014
387,2013-03-26,France,Saint-Denis,Stade de France,France,Espagne,0,1,loss,Qualifications pour la Coupe du monde 2014
388,2014-09-04,France,Saint-Denis,Stade de France,France,Espagne,1,0,win,Match amical
389,2017-03-28,France,Saint-Denis,Stade de France,France,Espagne,0,2,loss,Match amical
390,2021-10-10,Italie,Milan,Stade Giuseppe-Meazza,Espagne,France,1,2,win,Ligue des nations 2020-2021 (Finale)
391,2012-06-05,France,Le Mans,MMArena,France,Estonie,4,0,win,Match amical
392,1979-05-02,États-Unis,East Rutherford,Giants Stadium,États-Unis,France,0,6,win,Match amical
393,1979-10-10,France,Paris,Parc des Princes,France,États-Unis,3,0,win,Match amical
394,2011-11-11,France,Saint-Denis,Stade de France,France,États-Unis,1,0,win,Match amical
395,2018-06-09,France,Décines-Charpieu,Parc Olympique lyonnais,France,États-Unis,1,1,draw,Match amical
396,2004-09-08,Îles Féroé,Torshavn,Tórsvøllur,Îles Féroé,France,0,2,win,Qualifications pour la Coupe du monde 2006
397,2005-09-03,France,Lens,Stade Félix-Bollaert,France,Îles Féroé,3,0,win,Qualifications pour la Coupe du monde 2006
398,2006-10-11,France,Montbéliard,Stade Auguste-Bonal,France,Îles Féroé,5,0,win,Qualifications pour l'Euro 2008
399,2007-10-13,Îles Féroé,Torshavn,Tórsvøllur,Îles Féroé,France,0,6,win,Qualifications pour l'Euro 2008
400,2009-08-12,Îles Féroé,Torshavn,Tórsvøllur,Îles Féroé,France,0,1,win,Qualifications pour la Coupe du monde 2010
401,2009-10-10,France,Guingamp,Stade de Roudourou,France,Îles Féroé,5,0,win,Qualifications pour la Coupe du monde 2010
402,1960-09-25,Finlande,Helsinki,Stade olympique,Finlande,France,1,2,win,Qualifications pour la Coupe du monde 1962
403,1961-09-28,France,Paris,Parc des Princes,France,Finlande,5,1,win,Qualifications pour la Coupe du monde 1962
404,1992-11-14,France,Paris,Parc des Princes,France,Finlande,2,1,win,Qualifications pour la Coupe du monde 1994
405,1993-09-08,Finlande,Tampere,Stade Ratina,Finlande,France,0,2,win,Qualifications pour la Coupe du monde 1994
406,1996-05-29,France,Strasbourg,Stade de la Meinau,France,Finlande,2,0,win,Match amical
407,1998-06-05,Finlande,Helsinki,Stade olympique,Finlande,France,0,1,win,Match amical
408,2012-09-07,Finlande,Helsinki,Stade olympique,Finlande,France,0,1,win,Qualifications pour la Coupe du monde 2014
409,2013-10-15,France,Saint-Denis,Stade de France,France,Finlande,3,0,win,Qualifications pour la Coupe du monde 2014
410,2020-11-11,France,Saint-Denis,Stade de France,France,Finlande,0,2,loss,Match amical
411,2021-09-07,France,Décines-Charpieu,Parc Olympique lyonnais,France,Finlande,2,0,win,Qualifications pour la Coupe du monde 2022
412,2021-11-16,Finlande,Helsinki,Stade olympique,Finlande,France,0,2,win,Qualifications pour la Coupe du monde 2022
413,2006-09-02,Géorgie,Tbilissi,Stade Boris-Paichadze,Géorgie,France,0,3,win,Qualifications pour l'Euro 2008
414,2007-06-06,France,Auxerre,Stade de l'Abbé-Deschamps,France,Géorgie,1,0,win,Qualifications pour l'Euro 2008
415,2013-03-22,France,Saint-Denis,Stade de France,France,Géorgie,3,1,win,Qualifications pour la Coupe du monde 2014
416,2013-09-06,Géorgie,Tbilissi,Stade Boris-Paichadze,Géorgie,France,0,0,draw,Qualifications pour la Coupe du monde 2014
417,2023-06-16,Portugal,Almancil,Stade de l'Algarve,Gibraltar,France,0,3,win,Qualifications pour l'Euro 2024
418,2023-11-18,France,Nice,Allianz Riviera,France,Gibraltar,14,0,win,Qualifications pour l'Euro 2024
419,1958-10-01,France,Paris,Parc des Princes,France,Grèce,7,1,win,Qualifications pour l'Euro 1960
420,1958-12-03,Grèce,Athènes,Stade Apóstolos-Nikolaïdis,Grèce,France,1,1,draw,Qualifications pour l'Euro 1960
421,1972-09-02,Grèce,Le Pirée,Stade Karaïskaki,Grèce,France,1,3,win,Match amical
422,1973-09-08,France,Paris,Parc des Princes,France,Grèce,3,1,win,Match amical
423,1980-02-27,France,Paris,Parc des Princes,France,Grèce,5,1,win,Match amical
424,1996-02-21,France,Nîmes,Stade des Costières,France,Grèce,3,1,win,Match amical
425,2004-06-25,Portugal,Lisbonne,Stade José Alvalade,France,Grèce,0,1,loss,Euro 2004 (Quart de finale)
426,2006-11-15,France,Saint-Denis,Stade de France,France,Grèce,1,0,win,Match amical
427,2023-06-19,France,Saint-Denis,Stade de France,France,Grèce,1,0,win,Qualifications pour l'Euro 2024
428,2023-11-21,Grèce,Néa Filadélfia,Stade Agiá Sofiá,Grèce,France,2,2,draw,Qualifications pour l'Euro 2024
429,2014-06-15,Brésil,Porto Alegre,Stade José-Pinheiro-Borda,France,Honduras,3,0,win,Coupe du monde 2014 (Groupe E)
430,1911-01-01,France,Maisons-Alfort,Stade de Charentonneau,France,Hongrie,0,3,loss,Match amical
431,1914-05-31,Royaume de Hongrie,Budapest,Stade Flórián Albert,Hongrie,France,5,1,loss,Match amical
432,1924-06-04,France,Le Havre,Stade de la Cavée verte,France,Hongrie,0,1,loss,Match amical
433,1927-06-12,Royaume de Hongrie,Budapest,Stade Flórián Albert,Hongrie,France,13,1,loss,Match amical
434,1929-02-24,France,Colombes,Stade olympique Yves-du-Manoir,France,Hongrie,3,0,win,Match amical
435,1935-05-19,France,Colombes,Stade olympique Yves-du-Manoir,France,Hongrie,2,0,win,Match amical
436,1939-03-16,France,Paris,Parc des Princes,France,Hongrie,2,2,draw,Match amical
437,1956-10-07,France,Colombes,Stade olympique Yves-du-Manoir,France,Hongrie,1,2,loss,Match amical
438,1957-10-06,Hongrie,Budapest,Népstadion,Hongrie,France,2,0,loss,Match amical
439,1962-11-11,France,Colombes,Stade olympique Yves-du-Manoir,France,Hongrie,2,3,loss,Match amical
440,1964-04-25,France,Colombes,Stade olympique Yves-du-Manoir,France,Hongrie,1,3,loss,Qualifications pour l'Euro 1964
441,1964-05-23,Hongrie,Budapest,Népstadion,Hongrie,France,2,1,loss,Qualifications pour l'Euro 1964
442,1966-09-28,Hongrie,Budapest,Népstadion,Hongrie,France,4,2,loss,Match amical
443,1971-04-24,Hongrie,Budapest,Népstadion,Hongrie,France,1,1,draw,Qualifications pour l'Euro 1972
444,1971-10-09,France,Colombes,Stade olympique Yves-du-Manoir,France,Hongrie,0,2,loss,Qualifications pour l'Euro 1972
445,1975-03-26,France,Paris,Parc des Princes,France,Hongrie,2,0,win,Match amical
446,1976-05-22,Hongrie,Budapest,Népstadion,Hongrie,France,1,0,loss,Match amical
447,1978-06-10,Argentine,Mar del Plata,Stade José Maria Minella,France,Hongrie,3,1,win,Coupe du monde 1978 (Groupe 1 - 1er tour)
448,1982-10-06,France,Paris,Parc des Princes,France,Hongrie,1,0,win,Match amical
449,1986-06-09,Mexique,León,Estadio Nou Camp,France,Hongrie,3,0,win,Coupe du monde 1986 (Groupe C)
450,1990-03-28,Hongrie,Budapest,Népstadion,Hongrie,France,1,3,win,Match amical
451,2005-05-31,France,Longeville-lès-Metz,Stade Saint-Symphorien,France,Hongrie,2,1,win,Match amical
452,2021-06-19,Hongrie,Budapest,Stade Ferenc-Puskás,Hongrie,France,1,1,draw,Euro 2020  (Groupe F)
453,1978-05-11,France,Toulouse,Stadium municipal de Toulouse,France,Iran,2,1,win,Match amical
454,1937-05-23,France,Colombes,Stade olympique Yves-du-Manoir,France,Irlande,0,2,loss,Match amical
455,1952-11-16,Irlande,Dublin,Dalymount Park,Irlande,France,1,1,draw,Match amical
456,1953-10-04,Irlande,Dublin,Dalymount Park,Irlande,France,3,5,win,Qualifications pour la Coupe du monde 1954
457,1953-11-25,France,Paris,Parc des Princes,France,Irlande,1,0,win,Qualifications pour la Coupe du monde 1954
458,1972-11-15,Irlande,Dublin,Dalymount Park,Irlande,France,2,1,loss,Qualifications pour la Coupe du monde 1974
459,1973-05-19,France,Paris,Parc des Princes,France,Irlande,1,1,draw,Qualifications pour la Coupe du monde 1974
460,1976-11-17,France,Paris,Parc des Princes,France,Irlande,2,0,win,Qualifications pour la Coupe du monde 1978
461,1977-03-30,Irlande,Dublin,Lansdowne Road,Irlande,France,1,0,loss,Qualifications pour la Coupe du monde 1978
462,1980-10-28,France,Paris,Parc des Princes,France,Irlande,2,0,win,Qualifications pour la Coupe du monde 1982
463,1981-10-14,Irlande,Dublin,Lansdowne Road,Irlande,France,3,2,loss,Qualifications pour la Coupe du monde 1982
464,1989-02-07,Irlande,Dublin,Dalymount Park,Irlande,France,0,0,draw,Match amical
465,2004-10-09,France,Saint-Denis,Stade de France,France,Irlande,0,0,draw,Qualifications pour la Coupe du monde 2006
466,2005-09-07,Irlande,Dublin,Lansdowne Road,Irlande,France,0,1,win,Qualifications pour la Coupe du monde 2006
467,2009-11-14,Irlande,Dublin,Croke Park,Irlande,France,0,1,win,Qualifications pour la Coupe du monde 2010 (Barrage)
468,2009-11-18,France,Saint-Denis,Stade de France,Irlande,France,1,1,win,Qualifications pour la Coupe du monde 2010 (Barrage)
469,2016-06-26,France,Décines-Charpieu,Parc Olympique lyonnais,France,Irlande,2,1,win,Euro 2016 (Huitième de finale)
470,2018-05-28,France,Saint-Denis,Stade de France,France,Irlande,2,0,win,Match amical
471,2023-03-27,Irlande,Dublin,Aviva Stadium,Irlande,France,0,1,win,Qualifications pour l'Euro 2024
472,2023-09-07,France,Paris,Parc des Princes,France,Irlande,2,0,win,Qualifications pour l'Euro 2024
473,1921-02-08,France,Paris,Parc des Princes,France,Irlande amateur,1,2,loss,Match amical
474,1928-02-21,France,Montrouge,Stade Buffalo,France,Irlande du Nord,4,0,win,Match amical
475,1951-05-12,Irlande du Nord,Belfast,Windsor Park,Irlande du Nord,France,2,2,draw,Match amical
476,1952-11-11,France,Colombes,Stade olympique Yves-du-Manoir,France,Irlande du Nord,3,1,win,Match amical
477,1958-06-19,Suède,Norrköping,Idrottsparken,France,Irlande du Nord,4,0,win,Coupe du monde 1958 (Quart de finale)
478,1982-03-24,France,Paris,Parc des Princes,France,Irlande du Nord,4,0,win,Match amical
479,1982-07-04,Espagne,Madrid,Stade Vicente Calderón,France,Irlande du Nord,4,1,win,Coupe du monde 1982 (Groupe D - Second tour)
480,1986-02-26,France,Paris,Parc des Princes,France,Irlande du Nord,0,0,draw,Match amical
481,1988-04-27,Irlande du Nord,Belfast,Windsor Park,Irlande du Nord,France,0,0,draw,Match amical
482,1999-08-18,Irlande du Nord,Belfast,Windsor Park,Irlande du Nord,France,0,1,win,Match amical
483,1957-06-02,France,Nantes,stade Malakoff,France,Islande,8,0,win,Qualifications pour la Coupe du monde 1958
484,1957-09-01,Islande,Reykjavik,Laugardalsvöllur,Islande,France,1,5,win,Qualifications pour la Coupe du monde 1958
485,1975-05-25,Islande,Reykjavik,Laugardalsvöllur,Islande,France,0,0,draw,Qualifications pour l'Euro 1976
486,1975-09-03,France,Nantes,stade Marcel-Saupin,France,Islande,3,0,win,Qualifications pour l'Euro 1976
487,1986-09-10,Islande,Reykjavik,Laugardalsvöllur,Islande,France,0,0,draw,Qualifications pour l'Euro 1988
488,1987-04-29,France,Paris,Parc des Princes,France,Islande,2,0,win,Qualifications pour l'Euro 1988
489,1990-09-05,Islande,Reykjavik,Laugardalsvöllur,Islande,France,1,2,win,Qualifications pour l'Euro 1992
490,1991-11-20,France,Paris,Parc des Princes,France,Islande,3,1,win,Qualifications pour l'Euro 1992
491,1998-09-05,Islande,Reykjavik,Laugardalsvöllur,Islande,France,1,1,draw,Qualifications pour l'Euro 2000
492,1999-10-09,France,Saint-Denis,Stade de France,France,Islande,3,2,win,Qualifications pour l'Euro 2000
493,2012-05-27,France,Valenciennes,Stade du Hainaut,France,Islande,3,2,win,Match amical
494,2016-07-03,France,Saint-Denis,Stade de France,France,Islande,5,2,win,Euro 2016 (Quart de finale)
495,2018-10-11,France,Guingamp,Stade du Roudourou,France,Islande,2,2,draw,Match amical
496,2019-03-25,France,Saint-Denis,Stade de France,France,Islande,4,0,win,Qualifications pour l'Euro 2020
497,2019-10-11,Islande,Reykjavik,Laugardalsvöllur,Islande,France,0,1,win,Qualifications pour l'Euro 2020
498,1988-01-27,Israël,Ramat Gan,Stade Ramat Gan,Israël,France,1,1,draw,Match amical
499,1993-02-17,Israël,Ramat Gan,Stade Ramat Gan,Israël,France,0,4,win,Qualifications pour la Coupe du monde 1994
500,1993-10-13,France,Paris,Parc des Princes,France,Israël,2,3,loss,Qualifications pour la Coupe du monde 1994
501,1995-03-29,Israël,Ramat Gan,Stade Ramat Gan,Israël,France,0,0,draw,Qualifications pour l'Euro 1996
502,1995-11-15,France,Caen,stade Michel-d'Ornano,France,Israël,2,0,win,Qualifications pour l'Euro 1996
503,2003-04-02,Italie,Palerme,stade Renzo-Barbera,Israël,France,1,2,win,Qualifications pour l'Euro 2004
504,2003-10-11,France,Saint-Denis,Stade de France,France,Israël,3,0,win,Qualifications pour l'Euro 2004
505,2004-09-04,France,Saint-Denis,Stade de France,France,Israël,0,0,draw,Qualifications pour la Coupe du monde 2006
506,2005-03-29,Israël,Ramat Gan,Stade Ramat Gan,Israël,France,1,1,draw,Qualifications pour la Coupe du monde 2006
507,1910-05-15,Italie,Milan,Arena Civica,Italie,France,6,2,loss,Match amical
508,1911-04-09,France,Saint-Ouen,Stade de Paris,France,Italie,2,2,draw,Match amical
509,1912-03-17,Italie,Turin,Stadio Piazza d'Armi,Italie,France,3,4,win,Match amical
510,1913-01-12,France,Saint-Ouen,Stade de Paris,France,Italie,1,0,win,Match amical
511,1914-03-29,Italie,Turin,Stadio Piazza d'Armi,Italie,France,2,0,loss,Match amical
512,1920-01-18,Italie,Milan (Velodromo Sempione,it,Italie,France,9,4,loss,Match amical
513,1920-08-29,Belgique,Anvers,Stade olympique d'Anvers,France,Italie,3,1,win,Jeux olympiques 1920 (Quart de finale)
514,1921-02-20,France,Marseille,Stade de l'Huveaune,France,Italie,1,2,loss,Match amical
515,1925-03-22,Italie,Turin,Stadio di Corso Marsiglia,Italie,France,7,0,loss,Match amical
516,1927-04-24,France,Colombes,Stade olympique Yves-du-Manoir,France,Italie,3,3,draw,Match amical
