,date,pays,ville,stade,equipe1,equipe2,score1,score2,result_france,competition
687,1997-01-22,Portugal,Braga,Stade du Premier Mai,Portugal,France,0,2,win,Match amical
688,2000-06-28,Belgique,Bruxelles,Stade du Roi Baudouin,Portugal,France,1,2,loss,Euro 2000 (Demi-finale)
689,2001-04-25,France,Saint-Denis,Stade de France,France,Portugal,4,0,win,Match amical
690,2006-07-05,Allemagne,Munich,Allianz Arena,Portugal,France,0,1,win,Coupe du monde 2006 (Demi-finale)
691,2014-10-11,France,Saint-Denis,Stade de France,France,Portugal,2,1,win,Match amical
692,2015-09-04,Portugal,Lisbonne,Stade José Alvalade XXI,Portugal,France,0,1,win,Match amical
693,2016-07-10,France,Saint-Denis,Stade de France,Portugal,France,1,0,loss,Euro 2016 (Finale)
694,2020-10-11,France,Saint-Denis,Stade de France,France,Portugal,0,0,draw,"Ligue des nations 2020-2021 (Ligue A, Groupe 3)"
695,2020-11-14,Portugal,Lisbonne,Estádio da Luz,Portugal,France,0,1,win,"Ligue des nations 2020-2021 (Ligue A, Groupe 3)"
696,2021-06-23,Hongrie,Budapest,Stade Ferenc-Puskás,Portugal,France,2,2,draw,Euro 2020 (Groupe F)
697,1932-06-12,Roumanie,Bucarest,Stade ONEP,Roumanie,France,6,3,loss,Match amical
698,1967-03-22,France,Paris,Parc des Princes,France,Roumanie,1,2,loss,Match amical
699,1969-04-30,France,Paris,Parc des Princes,France,Roumanie,1,0,win,Match amical
700,1970-04-28,France,Reims,Stade Auguste-Delaune,France,Roumanie,2,0,win,Match amical
701,1972-04-08,Roumanie,Bucarest (Stadionul Național,1953,Roumanie,France,2,0,loss,Match amical
702,1974-03-23,France,Paris,Parc des Princes,France,Roumanie,1,0,win,Match amical
703,1994-10-08,France,Saint-Étienne,Stade Geoffroy-Guichard,France,Roumanie,0,0,draw,Qualifications pour l'Euro 1996
704,1995-10-11,Roumanie,Bucarest,Stade Steaua,Roumanie,France,1,3,win,Qualifications pour l'Euro 1996
705,1996-06-10,Angleterre,Newcastle,St James' Park,France,Roumanie,1,0,win,Euro 1996 (Groupe B)
706,2002-02-13,France,Saint-Denis,Stade de France,France,Roumanie,2,1,win,Match amical
707,2008-06-09,Suisse,Zurich,Stade du Letzigrund,Roumanie,France,0,0,draw,Euro 2008 (Groupe C)
708,2008-10-11,Roumanie,Constanța,Stade du Phare,Roumanie,France,2,2,draw,Qualifications pour la Coupe du monde 2010
709,2009-09-05,France,Saint-Denis,Stade de France,France,Roumanie,1,1,draw,Qualifications pour la Coupe du monde 2010
710,2010-10-09,France,Saint-Denis,Stade de France,France,Roumanie,2,0,win,Qualifications pour l'Euro 2012
711,2011-09-06,Roumanie,Bucarest,Arena Națională,Roumanie,France,0,0,draw,Qualifications pour l'Euro 2012
712,2016-06-10,France,Saint-Denis,Stade de France,France,Roumanie,2,1,win,Euro 2016 (Groupe A)
713,1993-07-28,France,Caen,Stade Michel-d'Ornano,France,Russie,3,1,win,Match amical
714,1998-03-25,Russie,Moscou,Stade Dynamo,Russie,France,1,0,loss,Match amical
715,1998-10-10,Russie,Moscou,Stade Loujniki,Russie,France,2,3,win,Qualifications pour l'Euro 2000
716,1999-06-05,France,Saint-Denis,Stade de France,France,Russie,2,3,loss,Qualifications pour l'Euro 2000
717,2002-04-17,France,Saint-Denis,Stade de France,France,Russie,0,0,draw,Match amical
718,2016-03-29,France,Saint-Denis,Stade de France,France,Russie,4,2,win,Match amical
719,2018-03-27,Russie,Saint-Pétersbourg,Stade de Saint-Pétersbourg,Russie,France,1,3,win,Match amical
720,2000-08-16,France,Marseille,stade Vélodrome,France,Sélection FIFA,5,1,win,Match amical
721,2002-05-31,Corée du Sud,Séoul,Stade de la Coupe du monde de Séoul,France,Sénégal,0,1,loss,Coupe du monde 2002 (Groupe A)
722,2008-09-10,France,Saint-Denis,Stade de France,France,Serbie,2,1,win,Qualifications pour la Coupe du monde 2010
723,2009-09-09,Serbie,Belgrade,Stade de l'Étoile rouge,Serbie,France,1,1,draw,Qualifications pour la Coupe du monde 2010
724,2012-05-31,France,Reims,Stade Auguste-Delaune,France,Serbie,2,0,win,Match amical
725,2014-09-07,Serbie,Belgrade,Stade de l'Étoile rouge,Serbie,France,1,1,draw,Match amical
726,2015-09-07,France,Bordeaux,Matmut Atlantique,France,Serbie,2,1,win,Match amical
727,1994-09-07,Slovaquie,Bratislava,Tehelné pole,Slovaquie,France,0,0,draw,Qualifications pour l'Euro 1996
728,1995-04-26,France,Nantes,Stade de la Beaujoire,France,Slovaquie,4,0,win,Qualifications pour l'Euro 1996
729,2006-03-01,France,Saint-Denis,Stade de France,France,Slovaquie,1,2,loss,Match amical
730,2007-08-22,Slovaquie,Trnava,Stade Antona Malatinskeho,Slovaquie,France,0,1,win,Match amical
731,2000-04-26,France,Saint-Denis,Stade de France,France,Slovénie,3,2,win,Match amical
732,2002-10-12,France,Saint-Denis,Stade de France,France,- Slovénie,5,0,win,Qualifications pour l'Euro 2004
733,2003-09-10,Slovénie,Ljubljana,Stade Bežigrad,Slovénie,France,0,2,win,Qualifications pour l'Euro 2004
734,1935-11-10,France,Paris,Parc des Princes,France,Suède,2,0,win,Match amical
735,1952-03-26,France,Paris,Parc des Princes,France,Suède,0,1,loss,Match amical
736,1953-06-11,Suède,Solna,Råsunda,Suède,France,1,0,loss,Match amical
737,1955-04-03,France,Colombes,Stade olympique Yves-du-Manoir,France,Suède,2,0,win,Match amical
738,1960-10-30,Suède,Solna,Råsunda,Suède,France,1,0,loss,Match amical
739,1969-10-15,Suède,Solna,Råsunda,Suède,France,2,0,loss,Qualifications pour la Coupe du monde 1970
740,1969-11-01,France,Paris,Parc des Princes,France,Suède,3,0,win,Qualifications pour la Coupe du monde 1970
741,1978-09-01,France,Paris,Parc des Princes,France,Suède,2,2,draw,Qualifications pour l'Euro 1980
742,1979-09-05,Suède,Solna,Råsunda,Suède,France,1,3,win,Qualifications pour l'Euro 1980
743,1989-08-16,Suède,Malmö,Malmö Stadion,Suède,France,2,4,win,Match amical
744,1992-06-10,Suède,Solna,Råsunda,Suède,France,1,1,draw,Euro 1992 (Groupe 1)
745,1993-04-28,France,Paris,Parc des Princes,France,Suède,2,1,win,Qualifications pour la Coupe du monde 1994
746,1993-08-22,Suède,Solna,Råsunda,Suède,France,1,1,draw,Qualifications pour la Coupe du monde 1994
747,1997-04-02,France,Paris,Parc des Princes,France,Suède,1,0,win,Match amical
748,1998-04-22,Suède,Solna,Råsunda,Suède,France,0,0,draw,Match amical
749,2005-02-09,France,Saint-Denis,Stade de France,France,Suède,1,1,draw,Match amical
750,2008-08-20,Suède,Göteborg,Ullevi,Suède,France,2,3,win,Match amical
751,2012-06-19,Ukraine,Kiev,Stade olympique,Suède,France,2,0,loss,Euro 2012 (Groupe D)
752,2014-11-18,France,Marseille,stade Vélodrome,France,Suède,1,0,win,Match amical
753,2020-09-05,Suède,Solna,Friends Arena,Suède,France,0,1,win,"Ligue des nations 2020-2021 (Ligue A, Groupe 3)"
754,2020-11-17,France,Saint-Denis,Stade de France,France,Suède,4,2,win,"Ligue des nations 2020-2021 (Ligue A, Groupe 3)"
755,1905-02-12,France,Paris,Parc des Princes,France,Suisse,1,0,win,Match amical
756,1908-03-08,Suisse,Genève,Stade des Charmilles,Suisse,France,1,2,win,Match amical
757,1911-04-23,Suisse,Genève,Stade des Charmilles,Suisse,France,5,2,loss,Match amical
758,1912-02-18,France,Saint-Ouen,Stade de Paris,France,Suisse,4,1,win,Match amical
759,1913-03-09,Suisse,Genève,Stade des Charmilles,Suisse,France,1,4,win,Match amical
760,1914-03-08,France,Saint-Ouen,Stade de Paris,France,Suisse,2,2,draw,Match amical
761,1920-02-29,Suisse,Genève,Stade des Charmilles,Suisse,France,0,2,win,Match amical
762,1923-04-22,France,Paris,Stade Pershing,France,Suisse,2,2,draw,Match amical
763,1924-03-23,Suisse,Genève,Stade des Charmilles,Suisse,France,3,0,loss,Match amical
764,1926-04-25,France,Colombes,Stade olympique Yves-du-Manoir,France,Suisse,1,0,win,Match amical
765,1928-03-11,Suisse,Lausanne,Stade olympique de la Pontaise,Suisse,France,4,3,loss,Match amical
766,1930-03-23,France,Colombes,Stade olympique Yves-du-Manoir,France,Suisse,3,3,draw,Match amical
767,1932-03-20,Suisse,Berne,Stade du Neufeld,Suisse,France,3,3,draw,Match amical
768,1934-03-11,France,Paris,Parc des Princes,France,Suisse,0,1,loss,Match amical
769,1935-10-27,Suisse,Genève,Stade des Charmilles,Suisse,France,2,1,loss,Match amical
770,1937-10-10,France,Paris,Parc des Princes,France,Suisse,2,1,win,Match amical
771,1942-03-08,France,Marseille,stade Vélodrome,France,Suisse,0,2,loss,Match amical
772,1945-04-08,Suisse,Lausanne,Stade olympique de la Pontaise,Suisse,France,1,0,loss,Match amical
773,1947-06-08,Suisse,Lausanne,Stade olympique de la Pontaise,Suisse,France,1,2,win,Match amical
774,1949-06-04,France,Colombes,Stade olympique Yves-du-Manoir,France,Suisse,4,2,win,Match amical
